country,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006
Albania,,,,,,,,,,,,,,,,,,0.296,,,,
Algeria,,,,0.166,,,,,,,0.303,,,,,,,,,,,
Armenia,,,,,,,,,,,,,,,0.508,,0.487,,,,,
Azerbaijan,,,,,,,,,,,,,,,,,0.42,,,,,
Bangladesh,,,,,,,,,,,,0.552,,,,0.523,,,,,0.438,
Benin,,,,,,,,,,,0.252,,,,0.33,,,,,,,
Bolivia,,,,,,,,,,,,,0.773,,0.817,,,0.835,,,,
Bosnia and Herzegovina,,,,,,,,,,,,,,,,,,0.199,,,,
Brazil,,,,,,,,,,,,,,0.514,,,,,0.41,,,
Burkina Faso,,,,,,,,,,,,,,0.611,,,,,0.524,,,
Burundi,,,,,,0.36,,,,,,,,0.646,,,,,,,,
Cambodia,,,,,,,,,,,,,0.401,,,,,,,0.38,,
Cameroon,,,,,,,,,,,,0.596,,,,,0.499,,,,,
Chad,,,,,,,,,,,,0.67,,,,,,,,,,
China,,,,,,,,,,,,0.079,,0.046,,,,,,,,
Colombia,,,,,,,,,,,0.79,,,,0.79,,,,,,,
Costa Rica,,,,,,,,0.255,,,,,,,,,,,,0.283,,
Dominican Republic,,,,,,,,,,,,,,,,0.453,,,,0.557,,
Ecuador,,,,,,,,,,,0.56,,,0.69,,,,,,,,
Egypt,,,,,,,,,,,,0.233,,,,,,,,,,
El Salvador,,,,,,,,,,,0.648,,,,,,,0.498,,,,
Estonia,,,,,,,,,,,0.147,,,,,,,,,,,
Ethiopia,,,,,,,,,,,,0.47,,,,0.45,,,,,,
Gambia,,,,,,,,,,,,,,0.61,,,,,0.63,,,
Georgia,,,,,,,,,,,,,,,,,,0.554,0.527,,,
Ghana,,,,,,,,,,,,,,,0.496,,,,,,,0.392
Guatemala,,,,,0.719,,,,,,,,,,,0.745,,,,,,
Haiti,,,,,,,,,,,0.66,,,,,,,,,,,
Honduras,,,,,,,,,,,,,,,0.712,,,,,0.704,,
India,,,,,,,,,,0.373,,,,,,0.302,,,,,,
Indonesia,,,,,,,,,,,,,,,0.344,,,,,,,
Jamaica,,,,,,,,,,,0.37,,,,,0.251,,,,,,
Jordan,,,,,,,,,,,,,0.27,,,,,0.187,,,,
Kazakhstan,,,,,,,,,,,,0.39,,,,,,,,,,
Kenya,,,,,,,,,,0.47,,,0.53,,,,,,,,,
Kyrgyz Republic,,,,,,,,,,,,,,,,,0.51,,0.575,,0.508,
Lao,,,,,,,,,0.487,,,,,0.41,,,,,,,,
Latvia,,,,,,,,,,,,,,,,,,0.116,,0.127,,
Lesotho,,,,,,,,,0.539,,,,,,,,,,,,,
Madagascar,,,,,,,,,,,,,0.76,,0.767,,,,,,,
Malawi,,,,,,,,,,,,,,0.665,,,,,,,,
Mali,,,,,,,,,,,,,,0.759,,,,,,,,
Mauritania,,,,,,,,,,,,0.655,,,,0.612,,,,,,
Mexico,,,,,,,,,,,,,,,,0.424,,0.348,,0.279,,
Moldova,,,,,,,,,,,,,,,,,0.64,0.672,,,,
Mongolia,,,,,,,,,,,0.331,,,0.326,,,,0.434,,,,
Morocco,,,,,,,0.18,,,,,,,,0.272,,,,,,,
Mozambique,,,,,,,,,,,,,0.713,,,,,,0.553,,,
Nepal,,,,,,,,,,,,0.433,,,,,,,,0.346,,
Nicaragua,,,,,,,,,0.761,,,,,0.685,,,,,,,,
Niger,,,,,,,,,0.66,,,,,,,,,,,,,
Nigeria,0.495,,,,,,,,0.364,,,,,,,,,,,,,
North Macedonia,,,,,,,,,,,,,,,,,,0.253,0.223,,,
Pakistan,,,,,,,,,0.334,,,,,,0.359,,,,,,,
Panama,,,,,,,,,,,,,0.649,,,,,,,,,
Papua New Guinea,,,,,,,,,,,,0.413,,,,,,,,,,
Paraguay,,,,,,0.285,,,,,,,,,,,,,,,,
Peru,,,,,,,,,,,,,,,,,0.771,,,0.721,,
Philippines,,,,,,,,,,0.186,,,0.369,,,,,,,,,
Romania,,,,,,,,,,0.279,,,,,,,,,,,,
Rwanda,,,,,,,,,,,,,,,,0.657,,,,,,
Senegal,,,,,,,,0.404,,,,,,,,,,,,,,
Sierra Leone,,,,,,,,,,,,,,,,,,,,0.79,,
Sri Lanka,,,,,,,0.22,,,,,0.27,,,,,,0.079,,,,
Swaziland,,,,,,,,,,,,,,,,,0.75,,,,,
Tanzania,,,,,,,0.408,,,,,,,,,,0.387,,,,,
Trinidad and Tobago,,,,,,,,0.2,,,,,,,,,,,,,,
Tunisia,,,,,,0.131,,,,,0.139,,,,,,,,,,,
Turkey,,,,,,,,,,,,,,,,,,0.345,,,,
Uganda,,,,,,,,,,,,,,,,0.374,,,0.417,,,
Ukraine,,,,,,,,,,,,,,,,0.349,,,0.284,,,
Uzbekistan,,,,,,,,,,,,,,,,0.305,,,,,,
Vietnam,,,,,,,,,,,,,,0.455,,,,0.356,,,,
Yemen,,,,,,,,,,,,,,0.45,,,,,,,,
Zambia,,,,,,,,,,,,,,0.831,,,,,,0.78,,
Zimbabwe,,,,,,,0.358,,,,,0.48,,,,,,,,,,
